업소명,카테고리,메뉴명,가격,설명,대표메뉴,이미지URL
메가MGC커피 배곧한라비발디점,신메뉴,복숭아 퐁당 요거트 스무디,4900,"복숭아 과육을 듬뿍 담아 과일 본연의 달콤함을 살리고, 상큼한 요거트를 넣어 누구나 맛있게 즐기는 복숭아 퐁당 요거트 스무디",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/7/9/wOLrPIGIUViY0oVuHVjOxra9kIm8DcCaGz82gBKfOyAXLidtC8rSUMQxaXFqvM_TPQQs03Sg38w4aPyP6bUmKV8gxj3cikpvUKEc30DSXsI=.jpg
메가MGC커피 배곧한라비발디점,신메뉴,멋쟁이 토마토 스무디,4700,춘천 찰토마토를 더한 상큼한 토마토 스무디에 오독오독한 펄슈가를 듬뿍 얹어 씹는 재미와 기분 좋은 단맛이 어우러진 멋쟁이 토마토 스무디,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/7/9/7bbEmMCF7RCKGXx9jU0Bv9PkpD_rwzFQ-vHLK4O5reZkf8cDG2H8E-RUgm6kT4Ix3TkcIhYSjgRraihgrelQ7Ry0v-AQ_s82zdm3L81AhhU=.jpg
메가MGC커피 배곧한라비발디점,신메뉴,포도녹차 젤리 크러쉬,4900,새콤달콤한 포도와 향긋한 그린티에 알로에 워터젤리를 듬뿍 더해 마지막 한 모금까지 시원하고 산뜻하게 즐기는 포도녹차 젤리 크러쉬,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/7/9/J_yKboEFlmk3ijPT3ESNrRTcIhmNDlaCFoXtJagzr0YHR9DuVvjGYlQKK39MRQJGEH4alb0yHuTKKYl7E1s--Kq9SBreKRQMRIkoCSuWsFc=.jpg
메가MGC커피 배곧한라비발디점,신메뉴,초당옥수수 프라페,4700,여름 제철 초당옥수수 특유의 기분 좋은 단맛과 톡톡 씹히는 초당옥수수 콘을 함께 담아 고소하고 풍성하게 즐기는 초당옥수수 프라페 초당옥수수 원물 함유로 빠른 취식 권장 드립니다.,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/7/9/lhyD3nwKv7kKeTdoQjUYfREIIf2kO_c0sUb0_LWSORb4HHPsMJZcmfjlLYIgmVf12QP33NhWbG_2OCnwVeq_V2C3CJlnuob2UHnqLCSyqSY=.jpg
메가MGC커피 배곧한라비발디점,신메뉴,와앙 핫 치즈스틱 & 딥,5500,바삭하고 베어 물면 치즈가 쭈욱 매콤바삭한 치즈스틱과 입맛 당기는 특제 MGC 소스의 조합으로 계속 손이 가는 와앙 핫 치즈스틱 & 딥,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/7/9/1Q-VJ9CwUwOfGTbBDJBvbemr21AG-DcUgfsmByHZ1RunzCeylF9esFBGMbUkE8-7FiH9QUl9yc0upWm7PTSwdDwwm_X4b9N_mVmMACziXF0=.jpg
메가MGC커피 배곧한라비발디점,신메뉴,꿀수박주스,5000,"100% 수박 착즙원액에 달콤한 꿀을 더해 본연의 진한 풍미를 살리고, 잘 익은 수박을 함께 갈아 리얼한 수박맛을 즐길 수 있는 메가MGC커피 여름시즌 대표메뉴 수박주스",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/4/30/sN44BdAFOMflh_rydiNgtDzE7n3jAWXxLzTthAuw2s-gm1b7chYpdLwsNtd-EAk8QhRQaep1MFNc6dPOYurcanHi0UxQplhnzLf2eQV0HYQ=.jpg
메가MGC커피 배곧한라비발디점,신메뉴,자몽 톡톡 스무디,5000,"톡톡 터지는 자몽 과육을 듬뿍 담아, 자몽 한 알을 그대로 베어 문 듯 상큼함이 입안 가득 퍼지는 자몽 스무디",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/4/30/gWODglcV4VimDwEkF1t5W7yPYU5l_sStyPGZwyot1ywvzpHzbpDygjNJDEocB2JDEHpkoxJ4bqnVgxKcAO2mvAdOQXIbQP56omQQpEcN2BU=.jpg
메가MGC커피 배곧한라비발디점,신메뉴,제로 레몬말차 아이스티,3200,"말차와 레몬의 상큼한 조화에 식이섬유 '알파CD'를 더해 부담 없이 산뜻하고 가볍게 즐기는 제로 칼로리, 제로 슈가 아이스티",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/4/30/MfuEq1oiBIm6HCDs6k8VUbyIvkITkQxd2GzFFI3bKCy7_6Ap0BozLDE_WpthBkQxzYCDmGMABwSPMOcl0Ptp2u81_t1-r7z8s9C8XjdJTPY=.jpg
메가MGC커피 배곧한라비발디점,신메뉴,팥빙 젤라또 파르페,5800,"다시 만나는 여름, 컵빙이 돌아왔다 쫀득한 팥 젤라또와 팥, 떡, 바삭한 믹스씨리얼이 조화를 이루는, 우유빙수의 풍미를 한컵에 담은 여름 시즌 한정 파르페.",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/4/30/9zl7fSKluy44oaaNxQQ3dA2sPB-vQJss3DL29vOBEkYHb0BYPbnIqgYNFoqkkg6MRMIBPPamWtVhD0qsXKmi6RQYc8AmOhZd3VtKMDWv1t8=.jpg
메가MGC커피 배곧한라비발디점,신메뉴,말차 젤라또 팥빙 파르페,5800,"이번엔 말차다 달콤쌉싸름하고 깊은 말차 젤라또에 팥, 떡, 바삭한 믹스씨리얼이 어우러진, 말차 우유빙수의 풍미를 한 컵에 담은 여름 시즌 한정 파르페",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/4/30/EMWfs2ty4TMDQGILt-SBxEPzsZD3XAzSSk7K0ootbnOn6hYptQO5ZLJqWZUkuv5DgHOUP5RAaAbM2yERVrJPkgqNE--kUaKLd-ZKDSbpKIg=.jpg
메가MGC커피 배곧한라비발디점,신메뉴,저당 꿀배 XO야쿠르트,4700,"저당으로 부담은 덜고, 새콤달콤한 맛은 더 풍부하게 꿀처럼 달콤한 배의 시원하고 깨끗한 단맛에 설탕 당류 지방 3 ZERO 야쿠르트 XO 2병이 들어간 리프레쉬 한 잔",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/4/2/UfqULIz5CSzdcQ8Uku-09j84bEEmMDmJjk5L3Lrzv27G3CgYrM1arDk_9571lomFlnNss4JMojeiOqrKnbErPHR8Xb6K920JvHmbbh_4tDs=.jpg
메가MGC커피 배곧한라비발디점,신메뉴,딸기라떼,4700,딸기과육이 풍부히 느껴지는 스테디 셀러 산뜻하고 달콤한 딸기가 가득해 부드러운 우유와 어우러져 더욱 기분 좋게 즐기는 아이스 라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/1/15/TmY5mZVZON7WVEsk9N0lqrwBWWDbTE1-BZjPCBrRvJfWdjC1mOdhAZYiGM_vSTl3jvKsyD5Nb2X5h6ZB6XGzz2PeR_8KmsLSRFNqRlW1_OI=.jpg
메가MGC커피 배곧한라비발디점,신메뉴,밀크쉐이크,3700,우유 그대로의 부드러움에 달콤함을 더해 꾸덕하고 진~한 풍미를 느낄 수 있는 겨울시즌 한정 밀크쉐이크,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/12/12/MO9koNRMx_TX3KqwqHb0KANrhFzgRy2ovEETfueRBhaCWTVKLQpFON26dfX9lWezmUhpgeRR7QWvqSw6phzG6M2YPHwMrfCeVJoqqtniE_w=.jpg
메가MGC커피 배곧한라비발디점,신메뉴,딥치즈 불고기 베이크,4900,바삭한 치즈가 올려진 빵 속 달콤 짭쪼롬한 불고기에 부드러운 체다치즈가 더해져 한 입 베어물면 입안 가득 풍미가 퍼지는 겨울시즌 한정 디저트,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/12/12/S3H6QFo3trnpVbwKvVBmDyYBq1l-Ed95_Qv5lNkhT6hHs0tJ7p3fPHaRTVldxT-KM_wrzyzLttIzKtG1s04GCc4mekb2dyzN7icHrBS3rvA=.jpg
메가MGC커피 배곧한라비발디점,신메뉴,요거젤라또 씨리얼 초코베리믹스,4900,"초코쉘을 입힌 기존 요거트 젤라또에, 팥빙에서 즐기던 바삭한 믹스씨리얼을 베리믹스와 함께 듬뿍 더한 시원바삭 요거볼
(요거젤라또+믹스씨리얼+초코쉘+트리플믹스베리 조합)",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/9/15/VrCUJP71JRxQ1Rg_GLcV3qhmfflpB5oV0gArqVZy6dqf7BsmCMDU53zleiewPQSfcYigwZbXPG6F47Rc4s0KOCrby2dSJPT7rwX0n8KUxRA=.jpg
메가MGC커피 배곧한라비발디점,신메뉴,요거젤라또 초코베리믹스,4900,"초코쉘을 입힌 요거트 젤라또에 세가지 달콤상큼 베리와 초코링, 고소한 그래놀라를 더한, 시원달달 요거볼",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/9/4/K5FzvWyP6MJu9KG7YbE6TAKzSwzdzBg63Rzq-ljTa6OO0VTrG5dRsePLwwWniQ6gqL3GUdaDdTaz1foV4fcR3XvsQ0OXr9FTK1JZDler790=.jpg
메가MGC커피 배곧한라비발디점,신메뉴,초코젤라또 말차라떼,5400,"진하고 꾸덕한 초코 젤라또를 제주산 고품질 말차, 쌉싸름한 블렌딩 커피와 함께 즐기는 말차 에스프레소 라떼",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/8/7/qiEVUbFIVUoXXSGeBUxhxtoPMqPc5kx5Hv3cD-t5-fV9ZgMKMPcsC5QLdi0AVhLvA5K18cMBE4fczld8S-W6Vofz7jN0xNikisSH7O-Ej2w=.jpg
메가MGC커피 배곧한라비발디점,신메뉴,멕시칸 미트칠리 핫도그,4600,"부드러운 빵에 뽀드득 통통한 소시지, 매콤한 미트칠리 소스를 더하고 체다치즈, 사워크림과 함께 즐기는 멕시코식 핫도그",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/7/3/qAiEDeYt4z0S1lnsZTkWKHixfXDzaTNkG9THzQdw5Qf_wIDjGKPFvTw8yBgNPhFVpZbXhryhk0jeRU4oncnQgwcNNl8zmbSamTW6PM5WgTU=.jpg
메가MGC커피 배곧한라비발디점,신메뉴,메가베리 아사이볼,4900,상큼달콤 아사이볼 속에 세가지의 달콤한 베리와 건강한 그래놀라가 더해져 시원 달달하게 즐길 수 있는 딸기시즌 한정 디저트,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/1/16/PJy30htqfncqffaMWCEZc2rnwYkv61zqxPIvQ5rJiv0XR_Uej052_rK_lAUzZ8gFxhNUZX5Vq29ZBB5NOjfT7Nt_EXM4793SwAuk7O2ivgo=.jpg
메가MGC커피 배곧한라비발디점,신메뉴,왕메가초코,5400,부드러운 우유에 진한 초코소스가 어우러져 달콤하게 입맛을 깨우는 왕 메가 사이즈 초코음료,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/3/28/UR3DLCEnclOWLj7P7q8sR9VmnUmQBXO813tWgu1RLXGRbbb4GNIHA-Xm3pCa387AAQ4UvIJki2wT6OnbbQLwRPeXW_ZCFkuhNuHTza9G4Sk=.jpg
메가MGC커피 배곧한라비발디점,신메뉴,왕메가아이스티,4900,깊은 맛의 홍차와 달콤한 복숭아의 은은한 향이 어우러진 왕 메가 사이즈 아이스티,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/3/28/wQVKLb6nRuZUZIcnehXmr3h79UKjEgmZlH7eNnfH3kZYxT4FDo-rZLNu7FLgPyjyHVWMe71aPExm6EPM5qIrktDHEts8nTsH0BQrSgPXeio=.jpg
메가MGC커피 배곧한라비발디점,신메뉴,제로 복숭아 아이스티,3900,"깊게 우려진 홍차와 은은한 복숭아향의 아이스티를 제로슈가, 제로칼로리로 즐길 수 있는 음료",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/3/28/3L4imwx63FapHcrM0HJ-wZ3uWYUqagAs57VMEEiRCezkxRbXHKnpYMppT2-yOFosTxaP-nGFtjrdOjei2pfoJlVH6PjdS-usiv_cPW-ysVQ=.jpg
