업소명,카테고리,메뉴명,가격,설명,대표메뉴,이미지URL
우지커피 배곧한라비발디점,호주의 라이프 스타일을 우지커피에서,딥 플랫화이트(SMALL SIZE),4000,우지커피의 스페셜티 원두와 시그니처 밀크를 결합하고 호주식 플랫화이트 감성을 담아 더욱 깊은 풍미로 즐기는 스몰 사이즈 딥 카페라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/6/24/7iqbd7hCffpXZIPjSwcYvVTq-4fKYIzrSsCufRyYpEPrJgAzqxyusLfmiMwxudmJkhnne__BtGBcqWl3a63Ujo64IXM0vZPJmJnMwjHwpJU=.jpg
우지커피 배곧한라비발디점,호주의 라이프 스타일을 우지커피에서,디카페인 딥 플랫화이트(SMALL SIZE),5000,우지커피의 디카페인 원두와 시그니처 밀크를 결합하고 호주식 플랫화이트 감성을 담아 더욱 깊은 풍미로 즐기는 스몰 사이즈 디카페인 딥 카페라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/6/24/Q-k622uuqGMJSxAK-BC0CmgNClsFSOvIOeUpJsm7816sTg7o0iYbKd2eaHu5arz_vKL7bn-rMqm1PaJoNeLhsiJOykBq_eHU-PRBMm8gl5Y=.jpg
우지커피 배곧한라비발디점,호주의 라이프 스타일을 우지커피에서,쿨피치스,5000,"달콤상큼한 복숭아 과육과 은은한 요구르트 향이 어우러진, 상큼하고 청량한 여름 시즌 음료
매운 음식과 함께 더욱 맛있게 즐겨보세요",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/6/24/jP8q3rsWJnOkOy8qBOp4SgdZJryfgLetdF-K3jW5fazEIWCkEF05P4AiSiK2LWQPj2xG-Q6Ba1xY_zCmI8d9pG8eKn29uzgQB1Uy34OraKo=.jpg
우지커피 배곧한라비발디점,호주의 라이프 스타일을 우지커피에서,"쿨피치스 (1L, 보틀 미포함)",6400,"달콤상큼한 복숭아 과육과 은은한 요구르트 향이 어우러진, 상큼하고 청량한 여름 시즌 대용량 음료
매운 음식과 함께 더욱 맛있게 즐겨보세요",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/6/24/-k7p6re1gmwzDoefujx1-qzhMm_hT5SvU7x42RnSxJSCnbejGtHwg01BI1N7amhp3DfkxKesfYqyUBjDh33T8Up4giRZBylPuVxHM6Jg1GY=.jpg
우지커피 배곧한라비발디점,호주의 라이프 스타일을 우지커피에서,쿨피치스 (보틀포함),7900,"달콤상큼한 복숭아 과육과 은은한 요구르트 향이 어우러진, 상큼하고 청량한 여름 시즌 대용량 음료
매운 음식과 함께 더욱 맛있게 즐겨보세요",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/6/24/0gdhPA9n8xcrLac9a4SWj3jgIn_FfG5VdyKtno3Cc4nwJDzQkMBciXpdNjSC922C_rk2DmXJDVLw7oJTNbRckWoY3b25dNbqIs30ooPekJo=.jpg
우지커피 배곧한라비발디점,호주의 라이프 스타일을 우지커피에서,쿨파인스,5000,"새콤달콤한 파인애플 과육과 은은한 요구르트 향이 어우러진, 상큼하고 청량한 여름 시즌 음료
매운 음식과 함께 더욱 맛있게 즐겨보세요",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/6/24/ID0dNZKowcqC9vIt6r9JR9mhtvIDLbnSXdmBqSYYv2eUIr6VqxkrYDXjET8ylgvXX2Ol325QsmEphSaIT_O4QSxBe2Vcmty3tBv9OzRVVdE=.jpg
우지커피 배곧한라비발디점,호주의 라이프 스타일을 우지커피에서,"쿨파인스 (1L, 보틀 미포함)",6400,"새콤달콤한 파인애플 과육과 은은한 요구르트 향이 어우러진, 상큼하고 청량한 여름 시즌 대용량 음료
매운 음식과 함께 더욱 맛있게 즐겨보세요",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/6/24/Lehoi9JisDRMLI3tQOsyRPuphsPtBCNlEeHtekUh9EAeMB5rK03lQx1zjREkO7HcN65guMzuxxbiDbya13WGUke_S3r7YFfWdFhYjE5VPmI=.jpg
우지커피 배곧한라비발디점,호주의 라이프 스타일을 우지커피에서,쿨파인스 (보틀포함),7900,"새콤달콤한 파인애플 과육과 은은한 요구르트 향이 어우러진, 상큼하고 청량한 여름 시즌 대용량 음료
매운 음식과 함께 더욱 맛있게 즐겨보세요",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/6/24/djVhLCxIeqgDNjqW56_Q7QPnqKbEYxy1XWw1wEJ6KlnodHynFtBQmPhl24A9mC73TaZAjdCLUPAEJrADsNfnVBeZV5zYh15TrlUbHJtw4fA=.jpg
우지커피 배곧한라비발디점,입 안 가득 즐기는  우지커피 여름시즌메뉴,리얼수박주스,6000,"달콤하고 시원한 수박을 통째로 갈아 더욱 진하고 
신선한 100% 수박주스 우지커피만의 레시피로 
수박의 향과 맛을 풍성하게 느낄 수 있는 
여름 NO.1 메뉴",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/5/7/1nV_1OWx5N25oT_diaNs6zmOcWgABV7FyPFti26VqElN3aK7cV8l-guB-p-3GnYwReMnTMZ3-_fruhS6cQRsru6mQldw7cHZSkqR3w3DojM=.jpg
우지커피 배곧한라비발디점,입 안 가득 즐기는  우지커피 여름시즌메뉴,리얼수박주스(1L),8500,"달콤하고 시원한 수박을 통째로 갈아 더욱 진하고 
신선한 100% 수박주스 우지커피만의 레시피로 
수박의 향과 맛을 풍성하게 느낄 수 있는 
1.1L 대용량 수박주스",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/5/7/tztLWalWe3qiYjQNsZ0DvpW1ttn5Z1YwrG21COuLk2_b66RFARrHF-JrHV1ntccsrz9U6yQO02zDlTO5KXgNlbXy-yev48ZHlWfO0yMfIIo=.jpg
