업소명,카테고리,메뉴명,가격,설명,대표메뉴,이미지URL
컴포즈커피 배곧테크노밸리점,대표메뉴,리얼초코자바칩프라페,4500,모카 소스와 자바칩 초콜릿이 블렌딩되어 달콤함을 느낄 수 있는 음료 (휘핑크림 없이 주문 가능),O,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/4/19/jk0XFD3EZeLUApDUnDEU2zG4EQszfeE7h1aSgLAg1-TUuEHgjQBZRlOx3EdThiabw4H_rhGn-BqPPp0MfIYuTGp3A73ko7gfCc_7Wy2KNG8=.jpg
컴포즈커피 배곧테크노밸리점,추천메뉴,저당 복숭아 스무디,4400,"달콤한 복숭아의 맛은 그대로, 당 걱정은 쏙 덜어내 가볍게 즐기는 복숭아 스무디",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/7/7/saqin4xQaKcr0tSKWFg_AmMyOhBIl-_LliQWUp0VjHStYXfcjaWle_ZSnO7z58cGfum1FbhrSfJrsay2v2UmwfleTpTEwIw6PfF2kmBX9yQ=.jpg
컴포즈커피 배곧테크노밸리점,추천메뉴,복숭아 캐모마일 티브리즈,3400,"한 여름 시원하게 불어오는 바람처럼,
달콤한 복숭아와 새콤한 청귤이 캐모마일 티와 어우러져 향긋한 힐링 음료",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/7/7/C4q4OLgzLqkTeYOhhve_JvT9ZQmQMjFalV6lWN8do1jPnw65zPLzA256CLwx1Qkk1TD6uciugTp9Zf-n_y1Sls-OmdafBojqOrIXDmvuzyI=.jpg
컴포즈커피 배곧테크노밸리점,추천메뉴,제주 한라봉 스무디,4400,달콤상큼한 한라봉 스무디에 쫀득 달콤 나타드코코&베리펄로 재밌는 식감까지 오감으로 즐기는 제주 감성 음료,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/7/7/dPL_WFBe591rfFkRGzj8hXK0m5uJHPgI2Ug3BaXKO4hL-WwOqeS7bisF3l7nzJ8hA9f2JYBwBfusu9QMZvxQXSUgcT7ojftj_Nw-CmWYWGw=.jpg
컴포즈커피 배곧테크노밸리점,추천메뉴,제주 한라봉 자몽에이드,3700,제주 한라봉과 자몽이 만나 달콤쌉쌀한 맛이 매력적인 여름 감성 에이드,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/7/7/ZLAiF4gUGWw-FocMrUIxFwfEFSmyC2VHTbNEq_zqXEk85o-AVW8c5EZMwOTOnUzFHqk5za_SmUppNSLSTYMe5PXdgLyIN6JwL45ySI6Yx3g=.jpg
컴포즈커피 배곧테크노밸리점,추천메뉴,스모크 바비큐 치아바타,4400,"쫄깃한 올리브 치아바타에 스모키한 바비큐 소스, 불고기, 치즈가 어우러진 메뉴",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/7/7/Uho5zYr0C3qBJZnbZ709pZH5s-J-UD9SsUB-gI4Qo5QfQnUnYYy5Ih8Sq7gBOUcsJPB8EogX6MGKrVgNbthkFFeKR2hbMAINZeUztODu9oI=.jpg
컴포즈커피 배곧테크노밸리점,추천메뉴,꿀 토마토 주스,4300,국내산 토마토를 꿀과 함께 갈아 만든 달콤한 토마토 주스. 해장템으로 추천,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/6/18/-d_w1FUGJsTA38vPqr-HpoAITvkVZ0Mr2szxutlt93Dj9GgraHob4DkK74rP5td09ZiAoooJfO2qLcEN2GTp7Hdrm5ZB4Jcyqyp-DOcMN5A=.jpg
컴포즈커피 배곧테크노밸리점,추천메뉴,그레인 바나나 주스,4300,바나나에 영양 가득 곡물을 더해 고소하고 든든하게 한 끼 해결,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/6/18/Skpiov6kr2PmvKSbPYPjBtrV_4F1-DfLZxrrdHPp78sTWd9ka9KPWpSp6rHj3BFaL2ygQscMhZ6jTS8w61Rl6Mh8tGIX4EfmJjMLjTnZfaY=.jpg
컴포즈커피 배곧테크노밸리점,추천메뉴,논산에서 온 수박 주스,4400,"올해도 논산에서 왔어요
국내산 논산 수박으로 만든 여름 베스트 수박 주스",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/5/12/CwB8WMlQQzFYR6l_UDtfnlfH--y9xxnJIB4j5q7ONelCB-sDi-Kv7gpfKyYaOBkgwmxtkkRez8WA60mIzNT22-J3tVRV70FXEpcBFxQ_QsM=.jpg
컴포즈커피 배곧테크노밸리점,추천메뉴,솔티드 쿨 리치,3000,"무더운 여름, 수분 충전 MAX
솔티 리치의 단짠 매력으로
가장 맛있는 수분 보충",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/5/12/2YMXxJH1znr9BoyOdL7ZponfMyj8fhQ-ZPLACzhOI9whg-Zm4IGa6x_VE0qgMUVH8mQp6ebUPfP6CHbbTr-qGTu_I-1vVrII9Z1ocBtACU4=.jpg
컴포즈커피 배곧테크노밸리점,추천메뉴,빅포즈 솔티드 쿨 리치,4600,"무더운 여름, 수분 충전 MAX
솔티 리치의 단짠 매력으로
가장 맛있는 수분 보충",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/5/12/rwJdRVo6r9srYVL8rQKpGKeZGu1ZexAv1hQvXzDqFjqO90yRfenedmXm4ZxPUXf_D3sEygz83c234bBdf8UVcyB85J0aOJK3OaxmHQ5KM3Y=.jpg
컴포즈커피 배곧테크노밸리점,추천메뉴,망고 자몽 요거빙,4400,"상큼 달콤한 망고, 자몽, 요거트에
쫀득한 베리펄로 풍성한 식감을 더한
망고 자몽 요거빙",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/5/12/nyJvsS2Mhw0NcfJNhsB_Nu0BE4P_SHmeAYLTrC4VxL9LXwmKTlIw90ADnPls_J1e-RD_Gi6O6IkfrFjRL2qV1PI5odsJxsd_MX5mlP9q-AI=.jpg
컴포즈커피 배곧테크노밸리점,추천메뉴,연유 수박 팥빙,4400,"한 여름의 수박 빙수를 한 컵에
아삭한 큐브 수박을 갈아 팥과 연유,
수박 과육을 올린 시원 달콤 팥빙",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/5/12/1hAFgZCeY0IilXuQl6IED4hLmq1yAu63ZcAtf65q2YjssXzneqEtdvv71aFNeN2KIO_J0avrALKBefTIeQZIhFn6TGMnmnmJtzUAStbwCvY=.jpg
컴포즈커피 배곧테크노밸리점,추천메뉴,너티 크림 라떼,3400,피넛크림의 달콤한 고소함이 더해져 너티한 비터홀릭의 특징을 오후에 편안하게 즐기는 크림 라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/4/14/uBAKyO7QoH-Ox04ZPly2fS9KpPL6NTN4zpjovhfg3zid-yW8DIrR6k63KFQQfinqlMOoVGSiWxi0pmkAV56K0JMpCqqEYx9pfbuV7mgbU88=.jpg
컴포즈커피 배곧테크노밸리점,추천메뉴,바닐라 크림 라떼,3400,진한 바닐라 크림의 달콤함이 더해져 비터홀릭의 다크초콜릿 풍미를 완성한 인상 깊은 오후를 만드는 크림 라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/4/14/v-qE6HE24hJCldnu99C-Hy121-O1gh8MclmG75y3OZPZF7tLnkehggEqKxeHLvcTYoRQpd1zE2RHYU8N5InjQJBxZcehozDuBFqxMZCWqmg=.jpg
컴포즈커피 배곧테크노밸리점,추천메뉴,파인애플 커피,3800,비터홀릭의 은은한 과일 산미에 상큼한 파인애플을 더해 리프레시 순간이 필요한 오전에 가볍게 즐기는 커피,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/4/14/n6slyOKRmkOpmqTWp4FqR1Zu-eHAh7s7DMETK6x2bMmVMluDoT2zYDDp5lHVVjPEWnabTl6n25dmV5ZSiysWCJcXd9bE65Y0F_dQVJC3DOo=.jpg
컴포즈커피 배곧테크노밸리점,추천메뉴,빅포즈 파인애플 커피,5400,비터홀릭의 은은한 과일 산미에 상큼한 파인애플을 더해 리프레시 순간이 필요한 오전에 가볍게 즐기는 커피,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/4/14/GVBi9BOBEBqYo0xmbzHgCaWservVseyDb9J7Kst_69PqXalk4DRvBJUcNO4qQm8U1inj_wpGYwFW4HHCisEFU7cmQaBLNsCJIv48Mi5rwoQ=.jpg
컴포즈커피 배곧테크노밸리점,추천메뉴,베러 댄 아인슈페너,4700,부드러운 크림 레이어로 기분 좋은 하루의 밸런스를 선사하는 기본에 충실한 아인슈페너,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/4/14/gmK1qqbCm-iuyd3jtvqjk1yrwAGBw4GeZBAlrnNPJ3uMAZKByP3HhHdJQV9eCZqFBp68ya84n46RY-CT9ZlE-uKVHu8PYCzWWMG5wn5iaAk=.jpg
컴포즈커피 배곧테크노밸리점,추천메뉴,올데이 오트,4400,"디카페인 커피에 저당시럽, 오트를 더해 만들어 이른 아침, 늦은 오후에도 부담 없이 선택할 수 있는 건강한 커피",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/4/14/z7r2zkPZCuxZpg7bMXnYteaEOQtDmm9y3R8NMAS0JoAQMTo8l3laVJ7Nh56kh2IvEzCxdMw-OrUc801rqxm9ApNvoYsnF64SBWGmdhJk1IA=.jpg
컴포즈커피 배곧테크노밸리점,추천메뉴,올데이 세트(대파크림/조리),4800,"아메리카노+대파크림 햄샌드위치 세트 
(메뉴 이미지의 음료는 아메리카노(HOT)입니다.)",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/4/14/-DlEX7tNnSD78CGfylC08GOWY7jBgpj35mq6Jz40rMHVOtodxJLjUSohrnQrflRUyj9hJQU5-YWcdjaGbstyS4qJKIfaqXuLCAkE2gKAO4U=.jpg
컴포즈커피 배곧테크노밸리점,추천메뉴,올데이 세트(대파크림/비조리),4800,"아메리카노+대파크림 햄샌드위치 세트
비조리 선택 시, 냉동상태로 제공됩니다. 섭취 전 한글표시 사항이 적힌 감열지를 제거하신 후, 전자레인지로 30초 조리 후 드시길 바랍니다. (메뉴 이미지의 음료는 아메리카노(HOT)입니다.)",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/4/14/bVMYvV8yBbHTAZfPtCvvIga8-PiECsoeEf5bCGxCHq-peTLyP_Y7c8ur6Sn13EdvHuUCKNfsLv2_gEBlr6Nm5mUVOTjh6nYXXLBgSheJyIY=.jpg
컴포즈커피 배곧테크노밸리점,추천메뉴,올데이 세트(치폴레/조리),4800,"아메리카노+치폴레 햄샌드위치 세트 
(메뉴 이미지의 음료는 아메리카노(HOT)입니다.)",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/4/14/i_8eOdNgemgeOnhXDDMeRZnEuhCZW4Ybo1baDEvtNxxn1y2fFUPWOPZAbEr9mLbnQ8JcU95ViRDCG3iUR5HGtezo7oTfTDU7grvudOlFwpc=.jpg
컴포즈커피 배곧테크노밸리점,추천메뉴,올데이 세트(치폴레/비조리),4800,"아메리카노+치폴레 햄샌드위치 세트
비조리 선택 시, 냉동상태로 제공됩니다. 섭취 전 한글표시 사항이 적힌 감열지를 제거하신 후, 전자레인지로 30초 조리 후 드시길 바랍니다. (메뉴 이미지의 음료는 아메리카노(HOT)입니다.)",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/4/14/26E8auVBrNpOGqGtiAsCBpzXn8BKFo7P9RMj1vfAn-y9AeAS1rCK11OVh9Mrwa-TCkyqJxQS0fKkb5aNvjoS7Cdo4p6BkQur5m6pXatgg0o=.jpg
컴포즈커피 배곧테크노밸리점,추천메뉴,인절미 컵빙,5000,상하목장 원유와 17가지 곡물이 어우러져 묵직하면서도 고소하고 달콤한 맛을 느낄 수 있는 컵빙수,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/7/9/0XtwJJUrQxYTc2FGZ8-f1zoNG5sAS55YuMhZhEznT4tP6NL8EW008f_9skWkvRpKpq8xCYavyZxAMP53JeG8phXLmc6dHy8YRxap3eW2xEM=.jpg
컴포즈커피 배곧테크노밸리점,추천메뉴,팥절미밀크쉐이크,5000,팥과 인절미 떡을 더해 팥빙수를 마시는 듯한 밀크쉐이크,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/7/9/99uDtL5nBZ_1ez3z7UtIwCorwct62nSRUN3OrDOGyAm_rq0hvqu0i9-vZlYSHiaQk29mbgHx6juMEEUDencl3hG79yGuO4WS8Pw5jb01DJ0=.jpg
컴포즈커피 배곧테크노밸리점,세트메뉴,아메리카노 6잔 세트,10000,,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/4/19/bqyiSvAaaWYZ0JDGOJiOTQTOJsdxx6imU9RKGqgLtCCclW1FphGGKI8ZdsRZ3veLDTBFnmgHnO63mvctpvxlw_loI2SnGFOEcdUpwifLQ5A=.jpg
컴포즈커피 배곧테크노밸리점,커피,빅포즈 아메리카노,3500,진한 에스프레소에 물과 얼음을 더하여 컴포즈커피의 고소함과 커피 특유의 쓴맛을 초콜릿티하게 표현한 음료,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/4/19/APCnr1e6rKBRe_SUvBoVgyi8LeGFcZvsNvsfPqdkiPBHvrS3PlTUMbyJyVGBTz24_0cf6vOCyowTzXwA_K7HaxBji0i1GjmyFD3I4uDNQNs=.jpg
컴포즈커피 배곧테크노밸리점,커피,에스프레소,2000,비터홀릭 원두의 풍성한 크레마가 입안 가득히 느껴지며 고소 쌉쌀함이 담긴 음료 (HOT컵으로 기본 제공 됩니다.),,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/4/19/u6Z2HcY7190nsSldOG9F9SaS1QZe-YA9s3kYcuVfxYvBpkkZLxCuXQD3AnpfIbY8Q1KFkc2_KiVwPVLCJYb7EY5L-i5VhthBPIXAzhm42Xs=.jpg
