restaurant_id,name,type,category,min_order,delivery_time,address,phone,business_hours,closed_days,rating,image_url
store-1,계란듬뿍덮밥 시흥정왕점,restaurant,한식,5000,35~50,경기도 시흥시 서촌상가3길 17 1층 105호 (정왕동),050-8820-91282,"10:00~21:00 (일요일 ~21:15, 준비시간 14:30~15:30)",연중무휴,4.9,
store-2,밥퍼맨 짜글이&덮밥 시흥점,restaurant,한식,9800,24~39,"경기도 시흥시 함송로14번길 5-4 1층 105호 A(정왕동,쌍용프라자)",050-8820-94737,매일 24시간 운영,연중무휴,4.9,
store-3,88제육 시흥정왕점,restaurant,한식,13900,25~40,"경기도 시흥시 중심상가로 159 103호(정왕동,에이스프라자)",050-6403-8248,"09:00~21:30 (일 07:00~24:00, 월 00:00~21:30, 수 07:00~21:30, 토 09:00~22:00)",매주 금요일,5,
store-4,오늘은 오므라이스 시흥점,restaurant,한식,5000,24~39,"경기도 시흥시 서울대학로264번길 50 B동 1층 111호(정왕동, 배곧헤리움 어반크로스2차)",050-6256-7047,매일 10:00~23:00,연중무휴,5,
store-5,한솥도시락 배곧점,restaurant,한식,18000,34~49,경기도 시흥시 정왕동 2519-1 배곧유호 N-CITY 1차 1층 131호(정왕동),050-7801-7574,"08:40~19:30 (월 ~19:00, 금 08:25~, 토 08:10~, 일 08:35~)",연중무휴,4.7,
store-6,도원반점 배곧직영점,restaurant,중식,10000,17~32(알뜰배달),"경기도 시흥시 서울대학로264번길 7 2층 에이-242호(배곧동, 시흥배곧 아브뉴프랑 센트럴 퍼플)",050-8819-68507,11:00~20:45 (금요일 ~20:50),연중무휴,4.8,
store-7,대경반점,restaurant,중식,13000,20~35,"경기도 시흥시 서울대학로264번길 44-4 에스프라자 121, 122호 (배곧동)",050-4830-6285,"08:30~20:20 (일 08:00~19:50, 토 08:15~20:20)",연중무휴,4.8,
store-8,어바웃차이나 배곧점,restaurant,중식,15000,28~43,"경기도 시흥시 서울대학로278번길 19-13 108동 1층 B-120호(배곧동, 시흥배곧 C1 호반 써밋플레이스)",050-6209-4637,매일 09:30~20:10,연중무휴,4.9,
store-9,와이앤웍Y&WOK 배곧직영점,restaurant,중식,16000,49~64,"경기도 시흥시 서울대학로278번길 26 113호(배곧동, 시흥배곧 아브뉴프랑 센트럴 오렌지)",050-4824-6863,매일 11:00~21:45,연중무휴,4.9,
store-10,포청천,restaurant,중식,15000,19~34,"경기도 시흥시 정왕대로 74 108,109,110,111,115호 (정왕동, 트윈프라자)",050-3621-00442,매일 09:00~22:50,연중무휴,4.9,
store-11,감동까스 시흥배곧점,restaurant,돈까스·회,13000,24~39,"경기도 시흥시 서울대학로264번길 12 1층 B-160호(배곧동, 시흥배곧 C2블럭 호반 써밋플레이스 아파트)",050-3621-57832,매일 10:15~24:00,연중무휴,4.7,
store-12,코란라멘 정왕점,restaurant,돈까스·회,15000,28~43,경기도 시흥시 봉우재로23번안길 17-1 102호(정왕동),050-6518-1594,매일 24시간 운영,연중무휴,4.9,
store-13,와다라멘 배곧점,restaurant,돈까스·회,12900,34~49,"경기도 시흥시 서울대학로264번길 26-9 8차 204호(배곧동, 로얄팰리스)",050-8818-82785,"10:00~21:00 (화 11:00~21:00, 일 10:00~20:30, 준비시간 15:30~16:30)",매주 수요일,5,
store-14,후라토식당 배곧점,restaurant,돈까스·회,12000,23~38(알뜰배달),"경기도 시흥시 서울대학로278번길 61, C동 2층 268호(배곧동, 서영베니스스퀘어)",050-4829-8294,11:30~20:30 (주말 12:00~20:00),연중무휴,4.9,
store-15,상무초밥 배곧점,restaurant,돈까스·회,12000,39~54,"경기도 시흥시 서울대학로264번길 44-4 에스프라자 1층 111,112,113,114,115호 (배곧동)",050-8818-56088,매일 10:30~21:30,연중무휴,5,
store-16,면부심 파스타 시흥배곧점,restaurant,양식,15000,23~38,"경기도 시흥시 서울대학로264번길 50 B동 1층(정왕동, 배곧헤리움 어반크로스2차)",050-3750-66971,매일 10:00~23:00,연중무휴,4.9,
store-17,샐러디 배곧점,restaurant,양식,10800,20~35,"경기도 시흥시 서울대학로264번길 35 120호(배곧동, 시흥배곧 아브뉴프랑 센트럴 그린)",050-4920-2579,10:00~20:50 (일요일 ~19:50),매주 토요일,4.8,
store-18,더블타코 배곧점,restaurant,양식,15000,28~43,"경기도 시흥시 서울대학로278번길 8 B234, B235호(배곧동, 시흥배곧 아브뉴프랑 센트럴 레드)",050-8819-80847,11:30~21:50,매주 월요일,5,
store-19,BHC치킨 정왕역점,restaurant,치킨,18000,36~51,경기도 시흥시 다솜마을2길 19 1층(정왕동),050-8821-04757,매일 08:00~익일 03:50 (금·토 ~익일 05:50),연중무휴,4.8,
store-20,교촌치킨 정왕3호점,restaurant,치킨,20000,36~51,경기도 시흥시 서촌상가2길 9 1층(정왕동),050-6418-8029,매일 10:00~익일 01:40,연중무휴,4.6,
store-21,BBQ치킨 시흥행복점,restaurant,치킨,18000,24~39,경기도 시흥시 정왕동 1866-6 상가동 1층,050-3750-02887,매일 11:00~24:00 (목요일 09:00~),연중무휴,4.9,
