menu_id,restaurant_id,name,price,description,is_available,last_verified_at
menu_001,rest_001,(ICE)아메리카노,2000,스탠다드 블렌드 에스프레소,true,2026-07-23
menu_002,rest_001,메가리카노 (1L),3000,대용량 아메리카노,true,2026-07-23
menu_003,rest_001,큐브라떼,4200,연유 큐브가 올라간 에스프레소 라떼,true,2026-07-23
menu_004,rest_001,딸기쿠키프라페,3900,달콤한 딸기 쿠키 스무디,true,2026-07-23
menu_005,rest_001,허니자몽블랙티,3700,자몽과 블랙티의 스위트한 조화,true,2026-07-23
menu_006,rest_002,아메리카노 (ICED),2000,진하고 시원한 빽다방 대표 커피,true,2026-07-23
menu_007,rest_002,원조커피 (ICED),2500,믹스커피 스타일 시그니처,true,2026-07-23
menu_008,rest_002,달콤아이스티,3000,시원하고 달콤한 복숭아 아이스티,true,2026-07-23
menu_009,rest_002,피스타치오 빽스치노,4500,고소한 피스타치오 스무디,true,2026-07-23
menu_010,rest_003,식후망고,1800,식후에 즐기는 콤팩트 망고주스,true,2026-07-23
menu_011,rest_003,망고 코코넛,2900,망고와 부드러운 코코넛 밀크,true,2026-07-23
menu_012,rest_003,망딸바,3500,망고 딸기 바나나 스무디,true,2026-07-23
